_id,objectid,has_wifi,location_name,public_name,address,postal_code,building_type,gis_id,asset_id,owner,neighbourhood,is_nia,is_emerging,ward,ward_number,telephone,website,globalid,geometry
11,20,Y,YORK MILLS ARENA,York Mills Arena,2539 BAYVIEW AVE,M2L 2Y4,Arena,4343,13082,City of Toronto,Bridle Path-Sunnybrook-York Mills (41),N,N,Don Valley West ,15,416-395-7844,https://www.toronto.ca/data/parks/prd/facilities/complex/778/index.html,9d0a0354-a1fe-45aa-80ca-8694bef424a9,"c(-79.3835117500732, 43.747606879781)"
12,21,Y,PLEASANT VIEW COMMUNITY CENTRE,Pleasant View Community Centre,545 VAN HORNE AVE,M2J 4S8,"Arena,Artificial Ice Rink Building,Community Recreation Centre,Outdoor Pool Building,Washroom Building",4454,2097,City of Toronto,Pleasant View (46),N,N,Don Valley North ,17,416-395-6006,https://www.toronto.ca/data/parks/prd/facilities/complex/732/index.html,1b165fdb-2cbc-469c-a662-9cdb6edb3ba7,"c(-79.3367080702965, 43.7870113797887)"
13,22,Y,PHIL WHITE ARENA,Phil White Arena,443 ARLINGTON AVE,M6C 3A4,"Arena,Artificial Ice Rink Building,Washroom Building",4227,1908,City of Toronto,Humewood-Cedarvale (106),N,N,Toronto-St. Paul's ,12,416-394-2734,https://www.toronto.ca/data/parks/prd/facilities/complex/477/index.html,30e4a631-af87-4235-8980-6b6d6c4e7841,"c(-79.4326124903034, 43.6912918201076)"
14,23,Y,AGINCOURT RECREATION CENTRE,Agincourt Recreation Centre,31 GLEN WATFORD DR,M1S 2B7,"Arena,Community Recreation Centre",4219,1608,City of Toronto,Agincourt South-Malvern West (128),N,N,Scarborough North ,23,416-396-4037,https://www.toronto.ca/data/parks/prd/facilities/complex/523/index.html,cd9f80ba-89ca-4924-8d31-bb8ceb28a2ec,"c(-79.2762931299111, 43.788414440165)"
15,24,Y,CENTENNIAL RECREATION CENTRE - SCARBOROUGH,Centennial Recreation Centre - Scarborough,1967 ELLESMERE RD,M1H 2W5,"Arena,Community Recreation Centre",4163,1675,City of Toronto,Woburn North (142),Y,N,Scarborough-Guildwood ,24,416-396-4057,https://www.toronto.ca/data/parks/prd/facilities/complex/537/index.html,f9624096-bf90-4336-9a61-ba4e2d927841,"c(-79.5863336102803, 43.6569329603221)"
16,25,Y,COMMANDER RECREATION CENTRE,Commander Recreation Centre,140 COMMANDER BLVD,M1S 3H7,"Arena,Community Recreation Centre",4164,1698,City of Toronto,Agincourt North (129),N,N,Scarborough North ,23,416-396-4024,https://www.toronto.ca/data/parks/prd/facilities/complex/558/index.html,1c7cbb64-19bb-4d59-8d9c-a7a6aa60931f,"c(-79.2678176303084, 43.7950478098312)"
17,26,Y,CUMMER PARK COMMUNITY CENTRE,Cummer Park Community Centre,6000 LESLIE ST,M2H 1J9,"Arena,Community Recreation Centre",4439,2060,City of Toronto,Bayview Woods-Steeles (49),N,N,Don Valley East ,16,416-396-4024,https://www.toronto.ca/data/parks/prd/facilities/complex/499/index.html,a1549715-38d0-4438-9e4b-bf2288afc084,"c(-79.3712622096712, 43.8001037700799)"
18,27,Y,DON MONTGOMERY COMMUNITY RECREATION CENTRE,Don Montgomery Community Recreation Centre,2467 EGLINTON AVE E,M1K 2R1,"Arena,Community Recreation Centre",4169,281,City of Toronto,Kennedy Park (124),Y,N,Scarborough Southwest ,20,416-396-4043,https://www.toronto.ca/data/parks/prd/facilities/complex/712/index.html,2b375ce3-2b3f-480e-bf85-1b32e1186675,"c(-79.2616645703624, 43.7326626202772)"
19,28,Y,MALVERN RECREATION CENTRE,Malvern Recreation Centre,30 SEWELLS RD,M1B 3G5,"Arena,Community Recreation Centre",4183,13047,City of Toronto,Malvern East (146),N,Y,Scarborough Rouge-Park ,25,416-396-4054,https://www.toronto.ca/data/parks/prd/facilities/complex/702/index.html,f7d9c81d-4ed2-4e1b-81d3-bd8b73d65e87,"c(-79.2163894297372, 43.8085763303068)"
20,29,Y,SCARBOROUGH VILLAGE RECREATION CENTRE,Scarborough Village Recreation Centre,3600 KINGSTON RD,M1M 1R9,"Arena,Community Recreation Centre",4185,925,City of Toronto,Scarborough Village (139),Y,N,Scarborough-Guildwood ,24,416-396-4048,https://www.toronto.ca/data/parks/prd/facilities/complex/743/index.html,68e8ffcb-b6f7-4ada-8216-681eb579e1d9,"c(-79.2167581198893, 43.739991319846)"
21,30,Y,GORD AND IRENE RISK COMMUNITY CENTRE,Gord And Irene Risk Community Centre,2650 FINCH AVE W,M9M 3A3,"Arena,Community Recreation Centre,Outdoor Pool Building",13602,13027,City of Toronto,Humber Summit (21),Y,N,Humber River-Black Creek,7,416-395-0355,https://www.toronto.ca/data/parks/prd/facilities/complex/642/index.html,4b513ac3-1e58-4484-8624-2afbfa911143,"c(-79.5665453702848, 43.7474370301364)"
22,32,Y,GRANDRAVINE COMMUNITY RECREATION CENTRE,Grandravine Community Recreation Centre,23 GRANDRAVINE DR,M3N 1J4,"Arena,Community Recreation Centre,Outdoor Pool Building",4421,14342,City of Toronto,York University Heights (27),Y,N,York Centre,6,416-395-6171,https://www.toronto.ca/data/parks/prd/facilities/complex/647/index.html,089804fa-34c3-4d25-9b86-f89a51c07729,"c(-79.4897156099342, 43.7517531498895)"
23,33,Y,HERON PARK COMMUNITY RECREATION CENTRE,Heron Park Community Recreation Centre,292 MANSE RD,M1E 3V4,"Arena,Community Recreation Centre,Outdoor Pool Building",22185,2079,City of Toronto,West Hill (136),Y,N,Scarborough Rouge-Park ,25,416-396-4035,https://www.toronto.ca/data/parks/prd/facilities/complex/633/index.html,279907d5-b8b6-433b-86b9-52f4fdab2551,"c(-79.1769383500681, 43.7688556102287)"
24,34,Y,McGREGOR PARK COMMUNITY CENTRE,McGregor Park Community Centre,2231 LAWRENCE AVE E,M1C 3B2,"Arena,Community Recreation Centre,Outdoor Pool Building",96441,13052,City of Toronto,Dorset Park (126),N,Y,Scarborough Centre ,21,416-396-4023,https://www.toronto.ca/data/parks/prd/facilities/complex/506/index.html,8d588365-e80e-4cba-a8d4-2d4088a625be,"c(-79.2801490000462, 43.7476285899487)"
25,36,Y,ORIOLE COMMUNITY CENTRE,Oriole Community Centre,2975 DON MILLS RD W,M2J 3B7,"Arena,Community Recreation Centre,Outdoor Pool Building",4426,2095,City of Toronto,Don Valley Village (47),N,N,Don Valley North ,17,416-395-6005,https://www.toronto.ca/data/parks/prd/facilities/complex/714/index.html,43a44405-b9e7-44a3-969d-2316d1e0c9d8,"c(-79.3512809603487, 43.781809509987)"
26,37,Y,RODING COMMUNITY CENTRE,Roding Community Centre,600 RODING ST,M3M 2A5,"Arena,Community Recreation Centre,Outdoor Pool Building",4337,2099,City of Toronto,Oakdale-Beverley Heights (154),N,Y,York Centre,6,416-395-7964,https://www.toronto.ca/data/parks/prd/facilities/complex/744/index.html,73073ca1-1145-4981-8cd4-d8be5759917b,"c(-79.4925005903342, 43.7290920298987)"
27,38,Y,CENTRAL ARENA,Central Arena,50 MONTGOMERY RD,M8X 1Z4,"Arena,Washroom Building",4496,2056,City of Toronto,Kingsway South (15),N,N,Etobicoke-Lakeshore,3,416-394-5439,https://www.toronto.ca/data/parks/prd/facilities/complex/824/index.html,afd5153c-467d-4f5b-8cfa-fb63c9c99031,"c(-79.5200549698785, 43.648463830109)"
28,39,Y,POWER HOUSE RECREATION CENTRE,Power House Recreation Centre,65 COLONEL SAMUEL SMITH PARK DR,M8V 4B6,"Artificial Ice Rink Building,Changeroom Building,Community Recreation Centre,Washroom Building",4488,13061,City of Toronto,New Toronto (18),N,N,Etobicoke-Lakeshore,3,416-338-1081,https://www.toronto.ca/data/parks/prd/facilities/complex/1429/index.html,f09cfb25-b23d-41f4-b569-9b9f0b6ca783,"c(-79.5153647696604, 43.5935265703072)"
29,40,Y,BROADLANDS COMMUNITY CENTRE,Broadlands Community Centre,19 CASTLEGROVE BLVD,M3A 1K9,"Artificial Ice Rink Building,Community Recreation Centre,Outdoor Pool Building,Washroom Building",13262,2053,City of Toronto,Parkwoods-O'Connor Hills (149),N,N,Don Valley East ,16,416-395-7966,https://www.toronto.ca/data/parks/prd/facilities/complex/7/index.html,3be8c4f6-74f7-473b-8828-82c50f2e6ed6,"c(-79.3227583604214, 43.7456714199397)"
30,41,Y,GLEN LONG COMMUNITY CENTRE,Glen Long Community Centre,35 GLEN LONG AVE,M6B 2M1,"Artificial Ice Rink Building,Community Recreation Centre,Outdoor Pool Building,Washroom Building",4433,2074,City of Toronto,Yorkdale-Glen Park (31),N,Y,Eglinton-Lawrence,8,416-395-7921,https://www.toronto.ca/data/parks/prd/facilities/complex/638/index.html,a4346e0e-fcd0-4f2b-994a-340ec1162c34,"c(-79.4558022801741, 43.7086258102452)"
31,42,Y,JIMMIE SIMPSON RECREATION CENTRE,Jimmie Simpson Recreation Centre,870 QUEEN ST E,M4M 3G9,"Artificial Ice Rink Building,Community Recreation Centre,Washroom Building",4157,1817,City of Toronto,South Riverdale (70),N,N,Toronto-Danforth ,14,416-392-0751,https://www.toronto.ca/data/parks/prd/facilities/complex/58/index.html,86043c42-68eb-4c65-a424-512261b414fe,"c(-79.3453298704247, 43.6604435400951)"
32,43,Y,ALBION POOL AND HEALTH CLUB,Albion Pool And Health Club,1485 ALBION RD,M9V 1B2,Community Recreation Centre,4481,13006,City of Toronto,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-8676,https://www.toronto.ca/data/parks/prd/facilities/complex/893/index.html,d479855c-d0d5-4941-9c9e-385aacabdeff,"c(-79.5811936900748, 43.7392934502128)"
33,45,Y,AMESBURY COMMUNITY CENTRE,Amesbury Community Centre,1507 LAWRENCE AVE W,M6L 1A8,Community Recreation Centre,4477,2044,City of Toronto,Brookhaven-Amesbury (30),N,N,York-South-Weston,5,416-395-0145,https://www.toronto.ca/data/parks/prd/facilities/complex/472/index.html,5a0aee24-6822-4911-aecc-3a20ce35d8fb,"c(-79.4826225798244, 43.7071746902646)"
34,46,Y,ANCASTER COMMUNITY CENTRE,Ancaster Community Centre,41 ANCASTER RD,M3K 1S7,Community Recreation Centre,4465,2045,City of Toronto,Downsview (155),Y,N,York Centre,6,416-395-6057,https://www.toronto.ca/data/parks/prd/facilities/complex/487/index.html,99b321e8-7297-4e49-a35f-3becbfc139fc,"c(-79.4657000500268, 43.7325346996972)"
35,47,Y,ANNETTE COMMUNITY RECREATION CENTRE,Annette Community Recreation Centre,333 ANNETTE ST,M6P 1R3,Community Recreation Centre,4489,2046,City of Toronto,High Park North (88),N,N,Parkdale-High Park,4,416-392-0736,https://www.toronto.ca/data/parks/prd/facilities/complex/17/index.html,962d5e26-3606-403a-a57e-9bb79020a5ff,"c(-79.4741390897072, 43.6612044598583)"
36,48,Y,ANTIBES COMMUNITY CENTRE,Antibes Community Centre,140 ANTIBES DR,M2R 3J3,Community Recreation Centre,4468,1621,City of Toronto,Westminster-Branson (35) ,N,Y,York Centre,6,416-395-0096,https://www.toronto.ca/data/parks/prd/facilities/complex/42/index.html,9463ed04-7ca4-4c91-8a93-8e299e5c52fb,"c(-79.4469765597813, 43.7811549798262)"
37,49,Y,ARMOUR HEIGHTS COMMUNITY CENTRE,Armour Heights Community Centre,2140 AVENUE RD,M4V 2J1,Community Recreation Centre,4469,46,City of Toronto,Bedford Park-Nortown (39),N,N,Eglinton-Lawrence,8,416-395-7848,https://www.toronto.ca/data/parks/prd/facilities/complex/503/index.html,0ad6d611-4b27-427b-aa0c-efa534a23528,"c(-79.421917830352, 43.7394458297953)"
38,51,Y,BEACHES RECREATION CENTRE,Beaches Recreation Centre,6 WILLIAMSON RD,M4E 1K5,Community Recreation Centre,4412,71,City of Toronto,The Beaches (63),N,N,Beaches-East York ,19,416-392-0740,https://www.toronto.ca/data/parks/prd/facilities/complex/24/index.html,da357e43-21a6-473b-a21f-13928f425e2d,"c(-79.2988070597013, 43.6739310200383)"
39,53,Y,BIRKDALE COMMUNITY CENTRE,Birkdale Community Centre,1299 ELLESMERE RD,M1P 2Y2,Community Recreation Centre,4444,105,City of Toronto,Bendale-Glen Andrew (156),N,N,Scarborough Centre ,21,416-396-4069,https://www.toronto.ca/data/parks/prd/facilities/complex/289/index.html,842ef8d4-4ed4-4a86-be60-659a2c1b566e,"c(-79.2638891996545, 43.7682320103242)"
40,56,Y,CANOE LANDING COMMUNITY CENTRE,Canoe Landing Community Centre,45 FORT YORK BLVD,M5V 0R6,Community Recreation Centre,97785,63202,City of Toronto,Harbourfront-CityPlace (165),N,N,Spadina-Fort York ,10,416-397-4200,https://www.toronto.ca/data/parks/prd/facilities/complex/3643/index.html,5c4bbcf0-0dd5-4cee-a973-5bd844c876ad,"c(-79.3946528700259, 43.6398427200645)"
41,58,Y,CEDARBROOK COMMUNITY CENTRE,Cedarbrook Community Centre,91 EASTPARK BLVD,M1H 1C6,Community Recreation Centre,4162,2055,City of Toronto,Golfdale-Cedarbrae-Woburn (141),Y,N,Scarborough-Guildwood ,24,416-396-4028,https://www.toronto.ca/data/parks/prd/facilities/complex/600/index.html,dcaa6a7b-f557-40a0-af7c-33d815ec8975,"c(-79.2274196499731, 43.7556539000319)"
42,59,Y,CHALKFARM COMMUNITY CENTRE,Chalkfarm Community Centre,180 CHALKFARM DR,M3L 2H8,Community Recreation Centre,4497,2057,Third Party Organization,Oakdale-Beverley Heights (154),Y,N,Humber River-Black Creek,7,416-395-7802,https://www.toronto.ca/data/parks/prd/facilities/complex/486/index.html,8e8794ce-1b6d-4630-aa3c-a1b5c7b6fcef,"c(-79.5118150301028, 43.7240484400035)"
43,60,Y,DENNIS R. TIMBRELL RESOURCE CENTRE,Dennis R. Timbrell Resource Centre,29 ST DENNIS DR,M3C 3J3,Community Recreation Centre,4511,273,City of Toronto,Flemingdon Park (44),Y,N,Don Valley East ,16,416-395-7972,https://www.toronto.ca/data/parks/prd/facilities/complex/1056/index.html,1cb8b268-c1f0-4f1c-98ca-04e93b411829,"c(-79.3316873601224, 43.7179406800766)"
44,61,Y,DOUGLAS SNOW AQUATIC CENTRE,Douglas Snow Aquatic Centre,5100 YONGE ST,M2N 5V7,Community Recreation Centre,20561,1715,City of Toronto,Willowdale West (37),N,N,Willowdale ,18,416-395-7585,https://www.toronto.ca/data/parks/prd/facilities/complex/567/index.html,cc507c35-c99d-4ad5-bed3-1bd42770fb69,"c(-79.4148887396292, 43.7672678802749)"
45,62,Y,EAST YORK COMMUNITY CENTRE,East York Community Centre,1081 1/2 PAPE AVE,M4K 3W4,Community Recreation Centre,4448,317,PFR,Old East York (58),N,Y,Toronto-Danforth ,14,416-396-2880,https://www.toronto.ca/data/parks/prd/facilities/complex/329/index.html,ddf39bd8-bdcc-4f11-a567-cf7d3f66c69d,"c(-79.3492704498945, 43.6917839803155)"
46,63,Y,EDITHVALE COMMUNITY CENTRE,Edithvale Community Centre,131 FINCH AVE W,M2N 2H8,Community Recreation Centre,4350,2065,City of Toronto,Willowdale West (37),N,N,Willowdale ,18,416-395-6164,https://www.toronto.ca/data/parks/prd/facilities/complex/1463/index.html,eb6d839f-2d18-44d2-ae7e-cf56eee081d7,"c(-79.4265392798065, 43.7769936502204)"
47,65,Y,ELMBANK COMMUNITY CENTRE,Elmbank Community Centre,10 RAMPART RD,M9V 4L9,Community Recreation Centre,4352,1732,City of Toronto,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-8671,https://www.toronto.ca/data/parks/prd/facilities/complex/750/index.html,a9445d52-2053-4b75-b9c3-67ae3a89eee9,"c(-79.588706030403, 43.7348000097144)"
48,66,Y,ETOBICOKE OLYMPIUM,Etobicoke Olympium,590 RATHBURN RD,M9C 3T3,Community Recreation Centre,4354,1737,City of Toronto,Eringate-Centennial-West Deane (11),N,N,Etobicoke Centre,2,416-394-8111,https://www.toronto.ca/data/parks/prd/facilities/complex/892/index.html,68aa0bb6-a5a5-41fe-b630-9715a9a751b7,"c(-79.5841050203161, 43.6504501900944)"
49,67,Y,FAIRBANK MEMORIAL COMMUNITY CENTRE,Fairbank Memorial Community Recreation Centre,2213 DUFFERIN ST,M6E 3S2,Community Recreation Centre,4428,13487,City of Toronto,Oakwood Village (107),N,N,Toronto-St. Paul's ,12,416-394-2473,https://www.toronto.ca/data/parks/prd/facilities/complex/482/index.html,6aa5f320-c17d-4148-a831-fe36b9f2fe14,"c(-79.4479966596685, 43.6912815598661)"
50,68,Y,FAIRFIELD SENIORS' CENTRE,Fairfield Seniors' Centre,80 LOTHIAN AVE,M8Z 4K5,Community Recreation Centre,4355,2068,PFR,Stonegate-Queensway (16),N,N,Etobicoke-Lakeshore,3,416-394-8686,https://www.toronto.ca/data/parks/prd/facilities/complex/822/index.html,6f9687f2-653c-4509-89ec-22d565f6a9d6,"c(-79.5193117999322, 43.6396780297173)"
51,70,Y,FALSTAFF COMMUNITY CENTRE,Falstaff Community Centre,50 FALSTAFF AVE,M6L 2C7,Community Recreation Centre,4356,2070,TCHC (Toronto Community Housing Corporation),Rustic (28),Y,N,York South-Weston,5,416-395-1199,https://www.toronto.ca/data/parks/prd/facilities/complex/1063/index.html,bda7b267-4525-48f8-ab66-f0b8605c6c71,"c(-79.5038387099304, 43.7167216401997)"
52,71,Y,FLEMINGDON COMMUNITY CENTRE AND PLAYGROUND PARADISE,Flemingdon Community Centre And Playground Paradise,150 GRENOBLE DR,M3C 3E7,Community Recreation Centre,4430,1745,City of Toronto,Flemingdon Park (44),Y,N,Don Valley East ,16,416-395-6014,https://www.toronto.ca/data/parks/prd/facilities/complex/583/index.html,26b55969-ab35-4995-ad24-f2a8a0899a8d,"c(-79.3266034804175, 43.7135307199789)"
53,73,Y,GUS RYDER POOL AND HEALTH CLUB,Gus Ryder Pool And Health Club,1 FAUSTINA DR,M8V 3L9,Community Recreation Centre,4607,1764,City of Toronto,New Toronto (18),N,N,Etobicoke-Lakeshore,3,416-394-8726,https://www.toronto.ca/data/parks/prd/facilities/complex/896/index.html,914eac15-95e1-4c0f-98af-5c1b1f252ec1,"c(-79.5221081296475, 43.6011444797411)"
54,76,Y,JENNER JEAN-MARIE COMMUNITY CENTRE,Jenner Jean-Marie Community Centre,48 THORNCLIFFE PARK DR,M4H 1J7,Community Recreation Centre,4436,2082,City of Toronto,Thorncliffe Park (55),Y,N,Don Valley West ,15,416-396-2874,https://www.toronto.ca/data/parks/prd/facilities/complex/1076/index.html,db3cf319-288f-4d41-9d22-99c749c488c2,"c(-79.3427368303565, 43.7029474098799)"
55,77,Y,JOHN INNES COMMUNITY RECREATION CENTRE,John Innes Community Recreation Centre,150 SHERBOURNE ST,M5A 2R6,Community Recreation Centre,4222,1818,City of Toronto,Moss Park (73),N,N,Toronto Centre ,13,416-392-6779,https://www.toronto.ca/data/parks/prd/facilities/complex/63/index.html,3d78e4a2-ee30-49a3-aaf2-95cfeffa7602,"c(-79.3703969703559, 43.6553875499658)"
56,78,Y,JOSEPH J. PICCININNI COMMUNITY CENTRE,Joseph J. Piccininni Community Centre,1369 ST CLAIR AVE W,M6E 1C5,Community Recreation Centre,13603,1820,City of Toronto,Corso Italia-Davenport (93),N,N,Davenport,9,416-392-0036,https://www.toronto.ca/data/parks/prd/facilities/complex/509/index.html,8708068b-78f1-47c5-ab44-36158c6f450c,"c(-79.4513966096441, 43.6753307903095)"
57,81,Y,L'AMOREAUX COMMUNITY RECREATION CENTRE,L'Amoreaux Community Recreation Centre,2000 MCNICOLL AVE,M1V 5E9,Community Recreation Centre,4181,13866,City of Toronto,Steeles (116),N,Y,Scarborough-Agincourt ,22,416-396-4510,https://www.toronto.ca/data/parks/prd/facilities/complex/788/index.html,639ad748-10da-49d8-8713-cc862bcafab8,"c(-79.3048947195996, 43.8126555402933)"
58,83,Y,MARY McCORMICK RECREATION CENTRE,Mary McCormick Recreation Centre,66 SHERIDAN AVE,M6K 2G9,Community Recreation Centre,4223,1867,City of Toronto,Little Portugal (84),N,N,Davenport,9,416-392-0742,https://www.toronto.ca/data/parks/prd/facilities/complex/100/index.html,56a450eb-3d2d-415e-a779-6ac0ecf348df,"c(-79.4334435801633, 43.6473440597276)"
59,84,Y,MASARYK - COWAN COMMUNITY CENTRE,Masaryk - Cowan Community Centre,220 COWAN AVE,M6K 2N6,Community Recreation Centre,4158,13049,City of Toronto,South Parkdale (85),Y,N,Parkdale-High Park,4,416-392-6928,https://www.toronto.ca/data/parks/prd/facilities/complex/89/index.html,846c5096-10ad-4eab-8f83-2348cd6b38c0,"c(-79.4332336699325, 43.6407247099376)"
60,85,Y,MATTY ECKLER RECREATION CENTRE,Matty Eckler Recreation Centre,953 GERRARD ST E,M4M 1Z4,Community Recreation Centre,4156,1866,City of Toronto,South Riverdale (70),N,N,Toronto-Danforth ,14,416-392-0750,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html,3a5c9ca3-37a2-4728-aa01-03a91c8b40d8,"c(-79.3393969902499, 43.6680536702825)"
61,87,Y,MILLIKEN PARK COMMUNITY RECREATION CENTRE,Milliken Park Community Recreation Centre,4325 MCCOWAN RD,M1V 4P1,Community Recreation Centre,4186,1874,City of Toronto,Milliken (130),N,N,Scarborough North ,23,416-396-7757,https://www.toronto.ca/data/parks/prd/facilities/complex/405/index.html,d6578047-f97f-472f-b203-90492005bb89,"c(-79.2745822201806, 43.8296478699464)"
62,89,Y,NORTH KIPLING COMMUNITY CENTRE,North Kipling Community Centre,2 ROWNTREE RD,M9V 5C7,Community Recreation Centre,4483,13055,City of Toronto,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-8679,https://www.toronto.ca/data/parks/prd/facilities/complex/749/index.html,38caca05-4001-47bd-898e-1c52ca8e443d,"c(-79.5848925499695, 43.751762090317)"
63,90,Y,OAKRIDGE COMMUNITY RECREATION CENTRE,Oakridge Community Recreation Centre,63 PHARMACY AVE,M1L 3E7,Community Recreation Centre,4188,1439,TDSB,Oakridge (121),Y,N,Scarborough Southwest ,20,416-338-1966,https://www.toronto.ca/data/parks/prd/facilities/complex/731/index.html,ab0de426-d2e9-4971-89df-fca539d4859a,"c(-79.2839400998526, 43.6944411298229)"
64,92,Y,OURLAND COMMUNITY CENTRE,Ourland Community Centre,18 OURLAND AVE,M8Z 4C9,Community Recreation Centre,4484,13058,City of Toronto,Mimico-Queensway (160),N,N,Etobicoke-Lakeshore,3,416-394-8673,https://www.toronto.ca/data/parks/prd/facilities/complex/793/index.html,383bd46b-5cd3-454a-ad38-882b149b22f0,"c(-79.5082581399555, 43.6150968902814)"
65,93,Y,PAM McCONNELL AQUATIC CENTRE,Pam McConnell Aquatic Centre,640 DUNDAS ST E,M5A 2B8,Community Recreation Centre,23041,14322,City of Toronto,Regent Park (72),Y,N,Toronto Centre ,13,416-338-2237,https://www.toronto.ca/data/parks/prd/facilities/complex/2012/index.html,e99d473f-6aa4-41c9-845d-64eb678cde87,"c(-79.3609607396247, 43.6607636399595)"
66,95,Y,PARKWAY FOREST COMMUNITY CENTRE,Parkway Forest Community Centre,55 FOREST MANOR RD,M2J 0C2,Community Recreation Centre,50081,45042,City of Toronto,Henry Farm (53),N,N,Don Valley North ,17,416-392-6383,https://www.toronto.ca/data/parks/prd/facilities/complex/2791/index.html,1ecb64c4-22c9-4cee-8db1-a6bd968af90a,"c(-79.3438943697872, 43.7725373199693)"
67,96,Y,PORT UNION COMMUNITY RECREATION CENTRE,Port Union Community Recreation Centre,5450 LAWRENCE AVE E,M1C 3B2,Community Recreation Centre,4367,829,City of Toronto,Centennial Scarborough (133),N,N,Scarborough Rouge-Park ,25,416-396-4031,https://www.toronto.ca/data/parks/prd/facilities/complex/883/index.html,e68f6c73-0463-4103-ac39-04743360fcdd,"c(-79.1402912501674, 43.7796645898013)"
